RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,John Daly,63,305.6,"38,501",126
2,2,Chris Couch,74,295.8,"42,596",144
3,3,Tiger Woods,83,293.1,"41,323",141
4,4,Rory Sabbatini,82,292.7,"45,658",156
5,5,Harrison Frazar,100,290.5,"55,779",192
6,6,Chris Smith,80,287.2,"44,803",156
T7,T7,Barry Cheesman,101,287.1,"55,700",194
T7,T7,Scott McCarron,90,287.1,"50,528",176
9,9,David Duval,80,286.8,"40,145",140
10,10,Dennis Paulson,107,286.3,"56,684",198
11,11,Phil Mickelson,85,285.7,"43,425",152
12,12,Tim Herron,100,284.8,"52,403",184
13,T13,Vijay Singh,107,284.3,"56,293",198
14,T13,Notah Begay III,101,283.8,"55,055",194
T15,T16,Charles Warren,69,283.4,"39,106",138
T15,T16,Fred Couples,59,283.4,"31,746",112
17,15,Davis Love III,83,283.0,"41,608",147
18,18,John Elliott,79,282.9,"44,692",158
19,19,Tommy Armour III,90,281.2,"49,487",176
20,21,"Jim Gallagher, Jr.",84,280.9,"46,069",164
21,22,Bo Van Pelt,73,280.7,"40,981",146
T22,T24,Craig Barlow,87,280.4,"47,671",170
T22,T24,Kenny Perry,83,280.4,"45,993",164
T22,T24,Grant Waite,99,280.4,"54,402",194
T25,27,Cameron Beckman,81,280.1,"45,374",162
T25,23,Stuart Appleby,95,280.1,"49,299",176
T27,T28,Jonathan Kaye,112,279.9,"60,189",215
T27,20,Duffy Waldorf,92,279.9,"48,142",172
T27,T28,Andrew Magee,94,279.9,"45,908",164
30,30,Paul Stankowski,79,279.6,"43,053",154
T31,T31,J.L. Lewis,99,279.5,"53,097",190
T31,T31,Michael Bradley,78,279.5,"41,370",148
T31,T31,Robert Allenby,88,279.5,"46,956",168
T34,T34,Katsumasa Miyamoto,60,279.0,"33,482",120
T34,T34,Bill Glasson,79,279.0,"42,405",152
36,38,David Seawell,51,278.8,"28,157",101
37,T34,Ted Tryba,110,278.5,"59,884",215
38,37,Ernie Els,65,278.2,"31,156",112
39,T40,Charles Raulerson,104,278.1,"56,457",203
40,42,Perry Moss,73,278.0,"39,471",142
41,39,Carlos Franco,71,277.9,"37,243",134
T42,T43,Joe Ogilvie,94,277.6,"51,086",184
T42,T43,Gabriel Hjertstedt,98,277.6,"53,301",192
44,T40,Chris Perry,124,277.4,"66,583",240
45,T45,Tom Purtzer,56,277.3,"28,834",104
46,47,Craig Stadler,54,277.2,"27,722",100
47,48,J.P. Hayes,94,277.1,"49,873",180
48,T45,Stewart Cink,97,276.9,"49,568",179
49,T49,Phil Blackmar,89,276.8,"49,276",178
T50,T52,Emlyn Aubrey,53,276.7,"28,220",102
T50,T52,Brett Quigley,64,276.7,"33,205",120
T52,T49,Hal Sutton,91,276.4,"47,538",172
T52,T55,Kirk Triplett,90,276.4,"47,541",172
T52,T55,Tom Scherrer,97,276.4,"51,406",186
55,T49,Dudley Hart,93,276.3,"46,422",168
T56,T57,Tommy Tolles,79,276.2,"42,541",154
T56,T57,Peter Jacobsen,74,276.2,"40,049",145
T56,T57,Robert Damron,111,276.2,"60,206",218
T59,T60,Greg Chalmers,110,276.0,"58,521",212
T59,T60,Woody Austin,101,276.0,"53,543",194
61,54,Tom Lehman,81,275.6,"42,996",156
T62,T62,Russ Cochran,85,275.4,"45,722",166
T62,T62,David Toms,107,275.4,"56,723",206
T64,T65,Steve Stricker,70,275.2,"36,878",134
T64,T65,Trevor Dodds,99,275.2,"53,392",194
66,T67,Jimmy Green,75,275.1,"41,262",150
T67,T69,Deane Pappas,82,275.0,"45,093",164
T67,T69,Chris DiMarco,103,275.0,"54,447",198
69,T71,Doug Dunakey,89,274.9,"47,835",174
T70,T73,Bob Burns,89,274.8,"48,915",178
T70,T73,Dan Forsman,92,274.8,"50,566",184
T70,64,Mike Weir,103,274.8,"53,035",193
T70,T73,Briny Baird,80,274.8,"42,862",156
T74,T76,Mark Calcavecchia,100,274.7,"51,092",186
T74,T76,Steve Flesch,102,274.7,"53,846",196
76,78,Ted Purdy,68,274.5,"34,867",127
T77,T67,Bob Tway,98,274.4,"49,385",180
T77,79,Steve Jones,62,274.4,"30,182",110
79,T80,Ronnie Black,56,274.3,"30,727",112
80,83,Bradley Hughes,100,274.2,"52,643",192
81,T71,Nick Price,68,274.0,"31,782",116
82,T80,Brent Geiberger,105,273.9,"56,424",206
83,T80,Scott Dunlap,86,273.7,"44,880",164
84,84,Jay Williamson,84,273.6,"44,873",164
85,85,Eric Booker,92,273.4,"49,206",180
86,86,Paul Azinger,75,273.1,"39,869",146
87,T87,Rich Beem,68,272.9,"34,928",128
88,89,Neal Lancaster,94,272.8,"50,201",184
89,90,Jerry Kelly,112,272.7,"58,903",216
T90,91,Kevin Sutherland,100,272.5,"52,316",192
T90,T87,Joe Ozaki,54,272.5,"26,703",98
T92,T93,John Huston,82,272.4,"39,225",144
T92,92,Jesper Parnevik,71,272.4,"33,779",124
94,T93,Jay Delsing,78,272.3,"41,396",152
95,T95,Brian Henninger,98,272.0,"52,225",192
96,97,Steve Lowery,101,271.9,"53,836",198
T97,98,Robin Freeman,81,271.8,"42,952",158
T97,T95,Glen Day,96,271.8,"49,462",182
99,99,Chris Riley,86,271.6,"45,629",168
100,100,Rocco Mediate,86,271.4,"42,888",158
101,T101,Justin Leonard,106,271.2,"54,239",200
T102,T101,Tom Kite,58,270.9,"31,428",116
T102,T101,Stephen Ames,59,270.9,"29,795",110
T104,T104,Scott Verplank,91,270.8,"46,031",170
T104,T104,Tom Pernice Jr.,93,270.8,"48,201",178
T104,T104,Phil Tataurangi,73,270.8,"38,455",142
107,107,Clarence Rose,52,270.7,"25,984",96
108,109,Franklin Langham,101,270.5,"53,551",198
T109,T110,"Dave Stockton, Jr.",91,270.3,"48,114",178
T109,T110,Blaine McCallister,94,270.3,"50,821",188
T109,T110,Skip Kendall,109,270.3,"56,764",210
T112,T116,Len Mattiace,97,270.1,"50,242",186
T112,T116,Kent Jones,67,270.1,"36,197",134
T114,108,Craig Parry,66,270.0,"32,396",120
T114,118,Joe Durant,79,270.0,"42,656",158
T116,T114,Jeff Maggert,88,269.9,"42,105",156
