RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Tiger Woods,42,13.22,555.17,-228.59,442.45,
2,2,Adam Scott,41,9.25,379.42,-173.83,292.54,
3,3,Phil Mickelson,49,8.52,417.55,-159.17,346.85,
4,6,Henrik Stenson,52,8.23,428.07,-63.62,380.78,
5,5,Justin Rose,52,7.78,404.66,-211.34,281.16,
6,4,Rory McIlroy,48,7.50,360.19,-351.97,90.85,
7,9,Steve Stricker,40,6.88,275.04,-142.31,226.75,
8,7,Matt Kuchar,52,6.64,345.42,-171.44,290.53,
9,8,Brandt Snedeker,52,6.27,325.86,-186.59,240.39,
10,10,Jason Dufner,52,6.08,315.93,-164.51,210.65,
11,11,Graeme McDowell,52,5.52,287.20,-155.55,189.89,
12,12,Zach Johnson,52,5.52,286.87,-130.13,204.66,
13,13,Jim Furyk,50,5.21,260.35,-115.81,177.06,
14,15,Keegan Bradley,52,5.11,265.66,-172.28,178.95,
15,14,Luke Donald,51,5.10,259.87,-288.89,109.03,
16,16,Jason Day,45,4.91,220.75,-113.34,207.02,
17,18,Sergio Garcia,50,4.65,232.47,-153.79,154.26,
18,17,Lee Westwood,52,4.62,240.17,-207.05,133.55,
19,19,Charl Schwartzel,52,4.51,234.53,-156.17,138.49,
20,20,Ian Poulter,48,4.47,214.65,-139.62,99.38,
21,30,Jordan Spieth,40,4.37,174.84,-9.08,178.81,
22,21,Ernie Els,52,4.31,223.91,-127.45,128.31,
23,25,Dustin Johnson,48,4.26,204.58,-152.68,148.04,
24,28,Webb Simpson,52,4.18,217.59,-188.11,149.32,
25,22,Hunter Mahan,52,4.09,212.72,-147.88,160.81,
26,24,Bubba Watson,47,4.06,190.67,-160.33,91.56,
27,27,Nick Watney,52,3.99,207.25,-145.75,118.40,
28,23,Louis Oosthuizen,52,3.99,207.23,-183.23,70.00,
29,26,Bill Haas,52,3.96,206.14,-122.81,166.38,
30,29,Hideki Matsuyama,40,3.63,145.34,-30.79,124.45,
31,31,Matteo Manassero,52,3.10,161.40,-80.28,107.02,
32,33,Graham DeLaet,50,3.01,150.30,-26.61,136.63,
