RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY
1,1,Dustin Johnson,45,10.28,462.72,-147.61,319.54,
2,2,Jon Rahm,52,9.97,518.59,-144.79,266.92,
3,3,Justin Thomas,50,8.63,431.30,-145.19,243.82,
4,4,Rory McIlroy,49,7.90,387.00,-179.42,98.90,
5,5,Collin Morikawa,40,7.72,308.78,-24.12,255.30,
6,6,Webb Simpson,46,7.04,323.99,-106.34,196.46,
7,11,Xander Schauffele,52,6.40,332.93,-126.95,170.24,
8,7,Brooks Koepka,48,6.10,292.98,-193.70,59.07,
9,8,Bryson DeChambeau,52,5.99,311.28,-136.01,202.47,
10,9,Patrick Reed,52,5.86,304.84,-111.86,170.08,
11,10,Adam Scott,40,5.32,212.89,-84.38,83.49,
12,12,Patrick Cantlay,43,5.24,225.33,-109.00,57.98,
13,13,Daniel Berger,45,5.01,225.23,-24.98,203.14,
14,15,Tyrrell Hatton,48,4.85,232.89,-63.29,138.42,
15,14,Tony Finau,52,4.65,242.05,-113.59,122.95,
16,16,Tommy Fleetwood,52,4.53,235.42,-119.17,59.86,
17,17,Matthew Fitzpatrick,52,4.30,223.74,-75.44,105.94,
18,19,Justin Rose,49,4.21,206.35,-144.49,63.10,
19,20,Hideki Matsuyama,52,4.21,218.97,-79.25,84.76,
20,18,Tiger Woods,40,4.17,166.88,-111.87,15.63,
21,21,Paul Casey,52,4.13,214.63,-94.82,79.36,
22,26,Abraham Ancer,52,3.92,203.87,-59.31,120.10,
23,24,Louis Oosthuizen,48,3.90,187.37,-76.70,66.92,
24,27,Sungjae Im,52,3.90,202.88,-58.74,113.74,
25,22,Gary Woodland,52,3.89,202.21,-94.86,58.51,
26,23,Marc Leishman,50,3.88,194.22,-77.21,106.85,
27,25,Matt Kuchar,51,3.87,197.30,-89.73,86.19,
28,28,Shane Lowry,52,3.58,186.32,-82.73,46.19,
29,36,Scottie Scheffler,49,3.55,173.89,-24.99,121.37,
30,29,Kevin Kisner,52,3.45,179.27,-66.05,97.04,
31,31,Viktor Hovland,40,3.40,136.05,-19.99,93.67,
32,30,Bernd Wiesberger,40,3.36,134.57,-47.61,19.71,
33,32,Billy Horschel,52,3.18,165.23,-67.20,81.10,
34,33,Kevin Na,51,3.03,154.36,-67.93,59.07,
35,34,Ryan Palmer,47,3.00,140.82,-32.54,103.13,
36,35,Matthew Wolff,40,2.93,117.35,-16.94,79.86,
37,37,Jason Day,46,2.89,132.85,-63.93,81.71,
38,38,Rickie Fowler,44,2.85,125.35,-80.96,38.05,
39,39,Brendon Todd,42,2.74,114.93,-18.12,54.42,
40,40,Henrik Stenson,40,2.69,107.48,-55.86,7.26,
41,41,Chez Reavie,52,2.59,134.58,-58.25,42.08,
42,42,Lee Westwood,45,2.56,114.98,-40.60,70.44,
43,43,Danny Willett,52,2.51,130.58,-57.75,22.26,
44,44,Sergio Garcia,51,2.47,125.72,-57.63,47.31,
45,51,Harris English,52,2.43,126.60,-16.61,95.90,
46,45,Matt Wallace,52,2.40,124.92,-70.05,36.93,
47,47,Kevin Streelman,52,2.38,123.93,-28.44,84.83,
48,46,Erik van Rooyen,52,2.37,123.49,-43.56,47.87,
49,48,Cameron Smith,52,2.37,123.01,-59.73,66.77,
50,52,Joaquin Niemann,52,2.35,122.27,-37.42,63.50,
51,54,Phil Mickelson,46,2.31,106.31,-50.59,67.44,
52,49,Christiaan Bezuidenhout,52,2.31,120.12,-30.10,65.68,
53,53,Victor Perez,49,2.27,111.47,-40.62,33.73,
54,55,Tom Lewis,52,2.26,117.34,-45.30,52.60,
55,56,Jason Kokrak,52,2.25,116.97,-40.80,56.73,
56,50,Francesco Molinari,40,2.23,89.36,-113.78,1.40,
57,65,Mackenzie Hughes,52,2.22,115.51,-15.20,96.80,
58,57,Byeong Hun An,52,2.21,114.73,-56.85,44.23,
59,58,Ian Poulter,52,2.13,110.82,-60.03,43.83,
60,60,Joel Dahmen,52,2.11,109.71,-33.56,67.02,
61,59,Jazz Janewattananond,52,2.11,109.69,-49.33,19.01,
62,64,Shugo Imahira,52,2.10,109.22,-54.11,3.52,
63,61,Graeme McDowell,49,2.10,102.85,-31.09,69.94,
64,62,Bubba Watson,50,2.08,104.21,-65.35,64.63,
65,63,Rasmus Hojgaard,40,2.07,82.62,-8.00,56.28,
66,66,Adam Hadwin,48,2.05,98.47,-45.25,28.23,
67,69,Jordan Spieth,48,2.02,97.19,-51.49,29.68,
68,67,Sung Kang,52,1.99,103.61,-35.16,52.85,
69,68,Rafa Cabrera Bello,52,1.98,103.08,-62.54,25.94,
70,70,Corey Conners,52,1.97,102.69,-38.58,35.49,
71,73,Lanto Griffin,52,1.96,101.82,-24.32,57.46,
72,71,J.T. Poston,52,1.93,100.44,-33.55,40.23,
73,72,Brandt Snedeker,52,1.91,99.32,-55.50,32.84,
74,75,Cameron Champ,52,1.87,97.42,-36.45,42.14,
