RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS
1,1,Bubba Watson,77,.798,53.473,67
2,2,Dustin Johnson,83,.760,47.868,63
3,8,Robert Garrigus,71,.730,44.541,61
4,4,J.B. Holmes,100,.729,64.135,88
5,3,Bo Van Pelt,104,.724,62.966,87
6,6,Rory McIlroy,54,.698,27.933,40
7,5,D.J. Trahan,92,.692,56.728,82
8,7,Graham DeLaet,88,.678,51.538,76
9,9,Boo Weekley,88,.662,48.978,74
10,10,Hunter Mahan,85,.642,42.996,67
11,11,Charley Hoffman,85,.638,49.136,77
12,13,Kenny Perry,69,.605,33.856,56
13,14,Ángel Cabrera,64,.598,30.481,51
14,12,Joe Durant,67,.597,34.042,57
15,15,Nick Watney,91,.593,40.889,69
16,16,Charles Warren,64,.581,31.969,55
17,17,John Rollins,81,.560,41.985,75
18,18,Troy Matteson,84,.515,40.162,78
19,19,Kevin Streelman,90,.478,38.201,80
20,20,Adam Scott,70,.472,24.523,52
21,21,Bill Haas,87,.464,34.816,75
22,23,Ryan Moore,80,.450,27.424,61
23,22,Chris Couch,66,.444,26.189,59
24,24,Jason Dufner,87,.435,30.029,69
T25,25,Sean O'Hair,84,.431,28.007,65
T25,27,Stewart Cink,84,.431,27.987,65
27,26,Josh Teater,101,.428,39.389,92
28,28,Brett Wetterich,54,.415,22.019,53
29,T30,Rickie Fowler,98,.408,33.903,83
30,29,Robert Allenby,76,.403,24.582,61
31,T30,Alex Prugh,88,.390,31.202,80
32,32,J.J. Henry,92,.383,30.244,79
33,38,John Senden,103,.372,32.379,87
34,T34,Vijay Singh,75,.369,21.050,57
35,T34,Steve Elkington,74,.368,21.735,59
36,33,Will MacKenzie,72,.363,24.716,68
37,37,Martin Laird,91,.354,27.959,79
38,36,Tom Gillis,97,.348,31.353,90
39,39,Justin Rose,78,.338,23.634,70
40,40,Retief Goosen,75,.337,17.872,53
41,41,John Daly,63,.336,15.807,47
42,43,Y.E. Yang,72,.316,18.323,58
43,47,Rory Sabbatini,79,.300,20.109,67
44,53,Davis Love III,79,.297,19.589,66
45,44,Blake Adams,84,.292,21.891,75
T46,T45,Lucas Glover,75,.285,16.811,59
T46,42,Chris Tidland,77,.285,19.348,68
48,48,Sergio Garcia,58,.272,9.775,36
49,T55,Steve Marino,81,.270,17.033,63
50,49,Jarrod Lyle,54,.266,12.235,46
51,50,Mathew Goggin,85,.264,20.056,76
52,T45,Nicholas Thompson,88,.261,20.125,77
T53,T51,Jason Day,82,.254,18.020,71
T53,T51,David Toms,86,.254,17.773,70
55,54,Kevin Stadler,86,.237,17.031,72
56,57,Jeff Overton,89,.232,16.453,71
57,T55,Mathias Grönberg,61,.222,11.086,50
58,58,John Merrick,109,.217,19.983,92
T59,T59,Ernie Els,72,.215,11.810,55
T59,T59,Paul Casey,64,.215,9.476,44
61,61,Camilo Villegas,78,.210,11.760,56
T62,65,Kris Blanks,91,.201,14.851,74
T62,T63,Kevin Sutherland,86,.201,15.654,78
