RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Corey Pavin,69,.973,54.489,56
2,2,Bob Tway,70,.822,46.854,57
3,3,Marc Turnesa,87,.789,59.961,76
4,4,Daniel Chopra,84,.786,54.267,69
5,5,Aaron Baddeley,76,.762,45.745,60
6,6,Ben Crane,86,.745,55.864,75
7,9,Jeff Quinney,87,.654,47.774,73
8,8,Dudley Hart,74,.652,43.662,67
9,7,Chad Collins,72,.648,40.826,63
10,10,Eric Axley,113,.605,59.313,98
11,12,Dean Wilson,109,.579,53.854,93
12,11,Jesper Parnevik,88,.561,42.075,75
13,14,Nathan Green,95,.539,49.003,91
14,13,Carl Pettersson,110,.534,51.798,97
15,15,Stewart Cink,87,.521,33.347,64
16,17,Ian Poulter,51,.518,18.653,36
17,16,Brian Gay,102,.511,43.933,86
18,18,Greg Kraft,63,.501,25.047,50
19,20,Richard Johnson,77,.500,33.999,68
20,19,K.J. Choi,74,.491,27.966,57
21,21,Ryuji Imada,80,.469,31.898,68
22,23,Ken Duke,116,.467,49.063,105
23,22,Justin Leonard,101,.463,33.771,73
T24,29,Freddie Jacobson,78,.455,29.124,64
T24,24,Mark Wilson,107,.455,47.277,104
26,25,Joe Ogilvie,100,.446,38.835,87
27,26,Parker McLachlin,88,.445,35.147,79
28,32,Ryan Palmer,69,.430,25.777,60
29,27,Stuart Appleby,87,.427,28.583,67
30,28,Steve Elkington,84,.415,30.312,73
31,T30,Steve Stricker,75,.411,23.823,58
T32,T33,Craig Kanada,65,.407,22.408,55
T32,T33,Tim Herron,97,.407,35.447,87
T32,T33,Doug LaBelle II,65,.407,20.739,51
35,36,Jim Furyk,95,.405,30.405,75
36,T30,Patrick Sheehan,124,.395,41.437,105
37,37,Richard Johnson,60,.383,18.787,49
38,38,Anthony Kim,81,.362,23.552,65
39,39,Nick O'Hern,82,.348,24.688,71
40,40,Kevin Sutherland,98,.343,30.172,88
41,41,Hunter Mahan,87,.341,24.544,72
42,48,Brenden Pappas,66,.335,18.760,56
43,43,Ben Curtis,80,.321,20.228,63
44,44,John Mallinger,95,.312,26.193,84
45,T45,Todd Hamilton,92,.309,22.876,74
46,47,Stephen Leaney,53,.304,13.689,45
T47,T45,Vaughn Taylor,103,.303,28.520,94
T47,42,Stephen Ames,83,.303,19.978,66
49,49,Brad Elder,67,.267,14.414,54
50,53,Tom Pernice Jr.,104,.248,24.347,98
51,50,Carlos Franco,73,.230,14.478,63
52,54,Gavin Coles,54,.217,9.553,44
53,55,James Driscoll,85,.215,16.318,76
T54,T56,Phil Mickelson,80,.214,12.640,59
T54,T56,Shigeki Maruyama,50,.214,8.979,42
T54,51,Jason Day,81,.214,16.500,77
57,58,Chris Riley,51,.213,8.503,40
58,52,Ryan Moore,72,.210,13.208,63
59,59,Pat Perez,93,.208,16.405,79
T60,61,John Huston,56,.189,9.280,49
T60,60,Jeff Overton,103,.189,17.192,91
62,69,Scott McCarron,63,.177,9.539,54
63,62,Matt Kuchar,88,.175,12.240,70
64,63,Tim Wilkinson,95,.174,13.897,80
T65,T64,Chad Campbell,94,.169,14.378,85
T65,T64,Mike Weir,88,.169,11.128,66
67,T67,Steve Allan,58,.164,7.853,48
68,T67,Tim Petrovic,97,.156,12.618,81
69,82,Steve Marino,119,.155,16.160,104
70,T71,Bob Estes,90,.146,12.544,86
71,75,Johnson Wagner,83,.141,9.598,68
72,66,Shane Bertsch,96,.137,12.314,90
73,T73,Chris DiMarco,87,.133,10.122,76
74,T77,Geoff Ogilvy,65,.125,6.147,49
T75,T79,Mathew Goggin,91,.122,10.030,82
T75,T79,Brandt Snedeker,85,.122,8.142,67
77,97,John Rollins,94,.105,8.287,79
78,81,Brett Quigley,80,.102,7.421,73
79,76,Bob Sowards,61,.101,5.228,52
80,T73,Alejandro Cañizares,52,.100,4.111,41
81,70,Steve Lowery,74,.096,6.405,67
82,90,Lee Janzen,89,.094,7.033,75
83,83,Bill Haas,99,.090,8.118,90
84,87,J.J. Henry,108,.089,8.809,99
85,84,Camilo Villegas,79,.088,5.541,63
86,85,Kenny Perry,97,.082,7.509,92
87,86,Jimmy Walker,73,.080,4.943,62
88,T77,Tim Clark,90,.076,5.558,73
89,91,Glen Day,64,.051,2.856,56
90,88,Jerry Kelly,89,.045,3.359,74
91,T93,Fred Couples,60,.043,2.212,51
92,92,Zach Johnson,85,.039,2.748,71
93,95,Matt Jones,95,.031,2.586,84
94,111,Mark Hensby,71,.022,1.413,64
95,T108,Ryan Armour,87,.020,1.500,76
96,T102,Martin Laird,98,.019,1.637,85
97,89,Tommy Armour III,77,.018,1.183,66
T98,T100,Paul Goydos,78,.014,.938,67
T98,98,Jin Park,85,.014,.947,70
T98,T100,Charlie Wi,97,.014,1.254,88
101,T102,Andres Romero,69,.008,.389,49
102,T104,Jonathan Byrd,88,.006,.492,77
103,106,Kevin Na,97,.005,.494,91
104,107,Jason Gore,94,.004,.339,85
105,110,Woody Austin,109,.003,.229,88
106,99,Michael Allen,91,-.002,-.125,78
107,T108,Bart Bryant,81,-.004,-.273,67
108,T93,Frank Lickliter II,107,-.018,-1.826,100
