RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Dustin Johnson,77,1.987,.919,.829,.238,62
2,2,Francesco Molinari,73,1.610,.690,.593,.327,57
3,3,Justin Thomas,91,1.563,.408,.844,.311,68
4,4,Justin Rose,70,1.527,.551,.526,.450,53
5,6,Henrik Stenson,60,1.360,.427,.960,-.027,44
6,10,Rory McIlroy,64,1.351,.761,.269,.322,51
7,9,Luke List,98,1.337,.795,.194,.349,78
8,7,Tiger Woods,68,1.330,.061,.883,.385,59
9,8,Tommy Fleetwood,73,1.282,.580,.405,.296,54
10,5,Patrick Cantlay,87,1.278,.622,.509,.146,67
11,12,Bryson DeChambeau,93,1.212,.586,.556,.070,78
12,15,Ryan Moore,78,1.211,.406,.532,.273,66
13,14,Tony Finau,105,1.203,.481,.500,.222,81
14,13,Keegan Bradley,98,1.151,.237,.888,.026,80
15,17,Byeong Hun An,86,1.091,.475,.448,.167,73
T16,18,Adam Scott,78,1.064,.300,.639,.125,60
T16,22,Hideki Matsuyama,75,1.064,.194,.727,.143,57
18,16,Gary Woodland,96,1.059,.803,.484,-.228,70
19,11,Brooks Koepka,64,1.052,.658,.232,.162,54
20,19,Jon Rahm,71,1.039,.817,.047,.176,51
21,21,Rickie Fowler,74,.980,.244,.494,.242,61
22,23,Kevin Streelman,94,.868,.439,.415,.014,82
23,24,Jordan Spieth,81,.863,.271,.409,.184,66
24,25,Scott Piercy,84,.859,.209,.553,.097,68
25,26,Rafa Cabrera Bello,75,.839,.256,.487,.096,48
26,27,Paul Casey,74,.833,.138,.586,.109,49
27,28,Zach Johnson,94,.829,-.059,.463,.425,72
28,29,Stewart Cink,87,.810,.057,.698,.055,67
29,20,Patrick Reed,94,.783,.051,.187,.545,63
30,32,J.B. Holmes,77,.756,.565,.159,.032,68
31,31,Webb Simpson,95,.741,-.116,.486,.370,81
32,33,Billy Horschel,86,.720,.538,.352,-.169,77
33,34,Joel Dahmen,93,.677,.300,.381,-.004,71
34,36,Kevin Chappell,77,.668,.608,.296,-.236,62
35,37,Chris Kirk,108,.659,-.048,.518,.190,96
36,38,Chesson Hadley,103,.650,.146,.606,-.102,89
37,39,Kyle Stanley,93,.649,.378,.298,-.027,67
38,40,Ian Poulter,73,.627,.141,.435,.051,50
39,41,Brendan Steele,74,.604,.557,.243,-.195,54
40,42,Tyrrell Hatton,58,.603,.148,.202,.252,42
41,T44,Emiliano Grillo,94,.587,.364,.345,-.122,73
42,46,Tyler Duncan,97,.583,.273,.476,-.166,81
43,47,Charles Howell III,104,.582,.324,.163,.095,78
44,48,Corey Conners,97,.579,.501,.275,-.198,79
45,30,Bubba Watson,90,.554,.780,.005,-.231,68
46,49,Louis Oosthuizen,62,.548,.401,-.261,.408,46
47,50,C.T. Pan,104,.544,.215,.267,.063,82
48,51,Shane Lowry,64,.524,.331,.245,-.052,51
49,52,Jason Kokrak,99,.517,.360,.257,-.101,88
50,35,Jason Day,75,.515,.176,-.140,.479,49
51,53,Sam Ryder,82,.503,.203,.399,-.099,70
52,43,Marc Leishman,93,.498,-.006,.211,.292,73
53,54,Daniel Berger,81,.497,.100,.543,-.145,62
T54,T55,Cameron Percy,56,.490,.241,.039,.210,41
T54,T55,Adam Hadwin,92,.490,.057,.166,.267,66
56,57,Keith Mitchell,99,.486,.706,-.128,-.092,83
57,58,Chez Reavie,93,.483,.183,.437,-.137,60
58,59,Russell Knox,94,.471,.059,.263,.149,74
59,63,Aaron Wise,90,.464,.410,.012,.042,80
60,60,Branden Grace,67,.463,.163,.174,.125,44
61,61,Lucas Glover,65,.462,.514,-.043,-.008,46
62,62,Xander Schauffele,96,.448,.240,.235,-.027,72
63,64,J.J. Spaun,85,.441,.286,.410,-.255,71
64,65,James Hahn,85,.431,.323,.081,.028,69
T65,T44,Phil Mickelson,90,.420,-.225,.555,.091,70
T65,67,Andrew Putnam,97,.420,-.146,.380,.187,77
67,68,Charley Hoffman,87,.398,.254,.216,-.071,68
68,69,Ryan Armour,109,.395,-.012,.213,.194,96
69,70,Jamie Lovemark,92,.378,-.101,-.040,.519,78
T70,T71,J.J. Henry,81,.376,.174,.340,-.138,63
T70,T71,Abraham Ancer,98,.376,.325,.074,-.022,83
72,73,Russell Henley,77,.374,.093,.467,-.186,58
T73,T74,Bronson Burgoon,69,.373,.309,.371,-.307,57
T73,T74,Kiradech Aphibarnrat,51,.373,.485,-.247,.135,34
75,76,Aaron Baddeley,84,.366,-.345,.117,.595,70
76,77,Robert Garrigus,80,.356,.210,.331,-.186,68
77,78,Scott Stallings,96,.341,-.008,.373,-.025,80
78,79,Alex Cejka,77,.302,-.024,-.169,.495,60
T79,T80,Vaughn Taylor,83,.299,-.005,.305,-.002,70
T79,T80,Rory Sabbatini,91,.299,.217,-.152,.234,75
81,82,Ryan Palmer,69,.297,.235,.236,-.174,60
82,83,Alex Noren,67,.286,.208,.107,-.029,49
83,84,Kevin Tway,110,.277,.271,.032,-.026,90
84,66,Kevin Na,91,.268,-.378,.273,.373,70
85,85,Austin Cook,107,.254,.120,-.045,.179,92
86,86,Peter Uihlein,83,.247,.132,-.040,.156,65
87,87,Tom Hoge,101,.235,.018,.297,-.079,83
T88,T88,Matt Kuchar,88,.228,-.199,.216,.211,65
T88,T88,Nate Lashley,51,.228,.111,.036,.080,35
90,90,Graeme McDowell,67,.219,.124,.046,.049,46
91,91,Martin Laird,73,.189,-.045,.024,.209,61
92,92,Mackenzie Hughes,80,.163,-.068,.353,-.122,68
93,93,Harold Varner III,91,.149,.204,-.076,.021,74
94,94,Brandt Snedeker,84,.147,-.145,-.026,.318,74
95,95,Nick Watney,94,.143,.170,.141,-.167,80
96,96,Shawn Stefani,76,.141,-.093,.220,.013,60
T97,T97,Bill Haas,76,.139,-.177,-.052,.368,66
T97,T97,Matt Jones,70,.139,.333,-.386,.192,47
T99,T99,Sam Saunders,80,.132,.350,-.081,-.138,67
T99,T99,Troy Merritt,89,.132,.138,.086,-.092,73
101,101,Brian Gay,103,.123,-.166,.036,.253,92
102,102,Zac Blair,64,.120,-.345,.072,.394,46
103,113,Cameron Smith,85,.104,-.148,.034,.218,61
104,103,David Hearn,66,.095,-.170,.379,-.113,50
105,104,Bud Cauley,55,.094,-.113,-.032,.239,41
106,105,Johnson Wagner,75,.092,-.213,.078,.226,55
107,106,Jhonattan Vegas,92,.089,.294,-.081,-.124,64
108,107,John Huh,94,.083,-.110,.240,-.047,82
T109,T108,Nick Taylor,94,.077,.049,.011,.017,74
T109,T108,Si Woo Kim,108,.077,-.014,-.200,.291,78
111,110,Jason Dufner,71,.068,.256,-.009,-.178,52
112,111,Stephan Jaeger,81,.054,.045,-.166,.175,63
113,112,Brandon Harkins,101,.050,.181,-.006,-.124,85
114,114,Jimmy Walker,81,.033,-.437,.304,.166,66
115,115,Jim Furyk,50,.023,-.392,.179,.235,46
116,116,Brian Harman,94,.017,.137,-.024,-.096,72
117,117,Grayson Murray,72,.014,.375,-.347,-.015,59
118,118,J.T. Poston,73,.003,.381,-.373,-.005,57
119,119,Richy Werenski,98,-.014,.077,-.169,.077,74
120,120,Blayne Barber,69,-.019,.101,-.047,-.073,60
121,121,William McGirt,84,-.021,-.306,.091,.194,75
122,122,Sean O'Hair,67,-.026,.211,-.073,-.164,57
T123,T123,Chad Campbell,87,-.029,-.042,-.010,.023,67
T123,T123,Andrew Landry,82,-.029,.206,-.083,-.152,73
125,125,Ryan Blaum,81,-.058,.011,-.074,.005,72
126,133,Patton Kizzire,92,-.063,-.294,.381,-.150,78
127,126,Ollie Schniederjans,91,-.071,-.410,.090,.250,77
128,127,Retief Goosen,60,-.085,-.392,.389,-.083,40
129,128,Anirban Lahiri,82,-.095,.070,-.285,.120,67
130,129,Danny Lee,88,-.099,.005,-.155,.051,70
