RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Justin Thomas,66,1.741,.405,.997,.339,58
2,2,Hideki Matsuyama,74,1.433,.285,.690,.458,61
3,5,Jon Rahm,58,1.344,.756,.283,.304,57
4,6,Sergio Garcia,44,1.336,.848,.181,.308,32
5,4,Collin Morikawa,80,1.330,.440,.884,.005,71
6,3,Rory McIlroy,60,1.314,.702,.504,.108,51
7,7,Xander Schauffele,70,1.239,.648,.366,.225,61
8,9,Harold Varner III,74,1.145,.458,.442,.244,57
9,11,Dustin Johnson,49,1.138,.612,.524,.002,47
10,15,Scottie Scheffler,82,1.131,.618,.398,.115,70
11,8,Tony Finau,72,1.103,.341,.497,.266,59
12,13,Patrick Cantlay,46,1.097,.404,.523,.170,44
13,14,Tyrrell Hatton,42,1.066,.188,.694,.184,34
14,16,Russell Henley,67,1.041,-.049,.867,.224,58
15,10,Daniel Berger,64,1.034,.366,.396,.271,56
T16,12,Webb Simpson,52,1.007,.123,.640,.244,51
T16,18,Corey Conners,74,1.007,.600,.582,-.175,62
18,19,Harris English,76,.948,.215,.454,.279,68
19,17,Bryson DeChambeau,62,.908,1.039,-.090,-.041,62
20,23,Viktor Hovland,74,.837,.447,.633,-.243,58
21,21,Paul Casey,56,.814,.546,.631,-.363,44
22,22,Luke List,69,.805,.387,.300,.118,59
23,20,Joaquin Niemann,76,.744,.370,.562,-.188,65
24,26,Emiliano Grillo,69,.723,.250,.580,-.107,48
25,27,Cameron Tringale,63,.702,-.125,.632,.195,53
26,28,Patrick Reed,74,.696,.278,.102,.316,65
27,29,Jason Dufner,62,.686,.047,.472,.167,56
28,30,Shane Lowry,44,.678,.203,.354,.122,36
29,25,Ryan Palmer,68,.659,.280,.362,.017,59
30,31,Brooks Koepka,40,.656,.362,.322,-.028,38
31,32,Joel Dahmen,79,.652,.356,.336,-.040,63
32,33,Bubba Watson,66,.648,.649,.208,-.209,57
33,T34,Keegan Bradley,68,.638,.175,.351,.112,57
T34,36,Adam Scott,38,.636,-.056,.268,.424,30
T34,T34,Sebastián Muñoz,84,.636,.218,.308,.110,78
36,38,Jason Day,53,.628,.146,-.151,.632,40
37,39,Doc Redman,82,.598,.346,.584,-.332,70
38,40,Bud Cauley,65,.586,-.116,.322,.380,58
39,41,Brendan Steele,68,.582,.081,.539,-.038,56
40,42,Byeong Hun An,75,.580,-.050,.256,.373,60
41,43,Jason Kokrak,62,.574,.633,.168,-.227,51
T42,T44,Chez Reavie,77,.569,-.107,.440,.237,57
T42,37,Abraham Ancer,74,.569,.328,.335,-.093,56
44,T44,Cameron Champ,70,.563,.999,-.143,-.293,61
45,46,Cameron Davis,62,.556,.211,.213,.131,46
46,47,Sungjae Im,94,.551,.437,.106,.007,79
47,48,Ryan Moore,48,.526,.291,.370,-.136,34
48,49,Kevin Streelman,73,.498,.246,.250,.002,57
49,50,Rickie Fowler,44,.493,.172,.099,.222,41
50,52,Brian Harman,78,.459,.115,-.018,.362,71
51,53,Gary Woodland,62,.443,.052,.601,-.210,53
52,54,Lucas Glover,67,.440,.327,.400,-.286,50
53,55,Jhonattan Vegas,52,.426,.721,-.148,-.146,37
54,56,Will Gordon,36,.421,.564,-.106,-.036,22
55,57,Martin Laird,39,.415,.251,.187,-.023,29
56,58,James Hahn,36,.410,.143,.150,.117,27
57,59,Jim Furyk,39,.408,-.099,.568,-.061,36
58,60,Branden Grace,43,.405,-.181,.501,.085,33
59,61,Kyle Stanley,57,.397,.048,.335,.014,43
60,62,Adam Hadwin,65,.389,-.004,.262,.130,54
61,63,Russell Knox,67,.380,-.145,.449,.077,49
