RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Tiger Woods,55,3.443,127.375,110.333,17.042,37
2,2,Jim Furyk,89,2.548,173.269,122.729,50.539,68
3,4,Adam Scott,70,2.101,107.141,113.747,-6.607,51
4,3,Luke Donald,66,2.046,87.961,65.088,22.873,43
5,5,Phil Mickelson,74,1.955,91.897,79.325,12.573,47
6,6,Vijay Singh,103,1.725,144.929,140.290,4.638,84
7,7,Trevor Immelman,86,1.704,124.380,120.136,4.243,73
8,9,Steve Stricker,64,1.489,77.427,45.508,31.920,52
T9,10,Ernie Els,69,1.363,64.076,64.408,-.332,47
T9,11,Stuart Appleby,83,1.363,87.237,73.136,14.101,64
11,8,Stewart Cink,93,1.346,98.237,40.647,57.589,73
12,14,Lucas Glover,105,1.263,108.633,96.790,11.844,86
13,12,David Toms,76,1.249,77.448,56.481,20.968,62
14,13,Brett Quigley,109,1.248,117.316,56.951,60.365,94
15,15,José María Olazábal,62,1.213,47.289,32.650,14.640,39
16,16,Stephen Ames,63,1.207,53.089,32.782,20.307,44
17,18,Ian Poulter,53,1.203,50.521,42.359,8.161,42
18,20,Jonathan Byrd,66,1.163,62.824,50.899,11.924,54
19,26,Retief Goosen,68,1.144,52.640,46.728,5.912,46
20,17,Arron Oberholser,82,1.095,67.882,57.502,10.381,62
21,22,Robert Allenby,79,1.091,65.438,54.165,11.272,60
22,24,Vaughn Taylor,88,1.058,81.461,53.311,28.148,77
23,25,Jesper Parnevik,84,1.050,76.627,25.619,51.007,73
24,27,Sergio Garcia,59,.999,38.966,43.769,-4.802,39
25,29,Padraig Harrington,54,.958,36.422,39.926,-3.503,38
26,30,Tom Pernice Jr.,108,.947,82.371,35.308,47.062,87
27,21,Geoff Ogilvy,76,.924,48.072,23.469,24.601,52
28,28,Rod Pampling,89,.923,59.983,10.651,49.332,65
29,32,Jason Bohn,104,.902,80.291,86.852,-6.558,89
30,34,John Senden,96,.885,69.890,74.068,-4.179,79
31,23,K.J. Choi,93,.879,69.445,49.288,20.157,79
32,19,Davis Love III,85,.853,48.611,33.428,15.181,57
33,37,Greg Owen,79,.845,52.384,73.979,-21.597,62
34,38,Frank Lickliter II,99,.830,70.547,58.684,11.865,85
35,36,J.J. Henry,96,.828,63.788,48.676,15.112,77
36,35,Zach Johnson,98,.806,62.035,58.588,3.450,77
37,33,Carl Pettersson,95,.789,59.144,32.052,27.089,75
38,39,Tim Clark,80,.771,44.713,31.955,12.758,58
39,T40,Mike Weir,88,.765,48.166,50.347,-2.181,63
40,31,Rory Sabbatini,84,.749,47.931,57.169,-9.237,64
41,42,Bo Van Pelt,102,.730,65.660,61.414,4.247,90
42,43,Justin Rose,98,.725,62.389,64.191,-1.802,86
43,44,David Howell,52,.711,21.325,2.230,19.096,30
44,45,Fred Funk,106,.702,59.679,51.544,8.135,85
45,46,Charley Hoffman,100,.689,61.292,50.333,10.959,89
46,47,Shaun Micheel,96,.674,52.578,42.177,10.399,78
47,48,Briny Baird,81,.663,46.415,46.783,-.368,70
48,49,Scott Verplank,88,.654,44.450,38.946,5.505,68
49,50,Charles Howell III,96,.651,51.458,42.743,8.713,79
50,51,Camilo Villegas,95,.644,52.843,75.630,-22.788,82
51,T40,Brett Wetterich,82,.628,45.813,57.563,-11.749,73
52,52,Brian Gay,107,.613,61.277,6.427,54.848,100
53,53,Richard Johnson,94,.608,51.644,-9.951,61.593,85
54,63,Joe Durant,101,.590,56.645,95.145,-38.499,96
55,54,Kenny Perry,73,.588,35.271,55.059,-19.786,60
56,55,Bubba Watson,83,.579,41.659,60.923,-19.262,72
57,56,Charles Warren,93,.573,46.434,71.588,-25.154,81
58,57,Tom Lehman,70,.571,26.818,31.954,-5.136,47
59,60,Ted Purdy,103,.557,44.557,32.935,11.622,80
60,61,Stephen Leaney,84,.522,40.218,13.472,26.747,77
61,62,Jeff Sluman,101,.520,43.137,31.710,11.427,83
62,58,Dean Wilson,115,.492,45.753,-15.734,61.488,93
63,64,Ben Crane,85,.480,29.251,-22.528,51.778,61
64,65,Jerry Kelly,100,.478,40.156,39.314,.839,84
65,66,Daniel Chopra,110,.476,42.806,-9.830,52.636,90
66,67,Billy Mayfair,94,.473,36.411,28.506,7.905,77
67,68,Corey Pavin,74,.457,26.064,13.200,12.863,57
68,69,Steve Flesch,119,.443,45.655,34.551,11.104,103
69,70,Jeff Gove,91,.423,34.223,55.308,-21.086,81
70,71,Nathan Green,108,.422,39.629,-14.635,54.263,94
71,72,Freddie Jacobson,56,.415,22.413,5.186,17.225,54
72,59,Chad Campbell,91,.411,27.530,33.280,-5.749,67
73,73,Hunter Mahan,98,.410,36.523,30.779,5.743,89
74,74,Kent Jones,103,.402,35.385,9.050,26.333,88
75,75,Bart Bryant,87,.395,28.038,37.865,-9.828,71
76,76,Bernhard Langer,77,.390,23.013,5.312,17.698,59
77,77,Nick Watney,97,.389,33.443,35.367,-1.923,86
78,78,Kevin Sutherland,100,.381,33.111,27.632,5.480,87
79,79,John Rollins,93,.350,26.637,18.872,7.766,76
80,80,Justin Leonard,83,.346,22.508,25.803,-3.296,65
81,81,Brandt Jobe,91,.345,24.151,15.430,8.719,70
82,82,Fred Couples,52,.336,10.761,17.626,-6.862,32
83,83,Steve Lowery,99,.318,26.426,36.196,-9.771,83
84,84,Mark Wilson,79,.299,21.529,2.181,19.349,72
85,85,Ryuji Imada,105,.283,24.592,21.822,2.770,87
86,86,Bob Estes,85,.276,20.722,19.412,1.307,75
87,87,Olin Browne,108,.253,21.730,.415,21.314,86
88,88,Shigeki Maruyama,94,.229,18.318,5.340,12.978,80
89,89,Ryan Moore,68,.214,12.417,-4.823,17.240,58
90,90,Brian Davis,92,.184,14.927,48.964,-34.040,81
91,91,Paul Azinger,87,.172,13.785,-11.400,25.184,80
92,92,Duffy Waldorf,96,.171,14.041,7.176,6.867,82
93,93,Heath Slocum,96,.170,14.296,39.434,-25.135,84
94,94,Kirk Triplett,58,.166,8.148,5.244,2.907,49
95,95,Harrison Frazar,95,.137,10.238,-5.794,16.032,75
96,96,Joe Ogilvie,95,.129,10.024,8.213,1.812,78
97,97,Marco Dawson,87,.116,8.904,-7.993,16.896,77
98,98,Woody Austin,107,.114,10.630,17.854,-7.221,93
99,99,Brent Geiberger,99,.107,9.596,-22.806,32.401,90
100,100,Chris DiMarco,83,.105,6.412,4.387,2.027,61
101,101,J.P. Hayes,55,.090,4.513,2.610,1.905,50
102,102,Michael Allen,84,.085,6.134,-23.644,29.777,72
103,103,Dudley Hart,83,.083,5.920,6.887,-.968,71
104,104,Aaron Baddeley,78,.078,5.312,-35.136,40.446,68
105,105,Bill Haas,99,.076,6.647,26.704,-20.057,88
106,106,Mathew Goggin,72,.074,4.287,17.840,-13.553,58
107,107,Bob May,65,.054,2.930,15.762,-12.832,54
108,108,Billy Andrade,78,.053,3.196,18.105,-14.909,60
109,109,Eric Axley,91,.043,3.382,-13.537,16.919,79
110,110,Craig Barlow,77,.041,2.386,19.315,-16.928,58
111,111,Mathias Grönberg,92,.037,2.946,19.071,-16.125,79
112,112,Joey Sindelar,90,.034,2.565,31.515,-28.950,76
113,113,Robert Garrigus,85,.031,2.310,29.659,-27.350,74
114,114,Steve Elkington,52,.028,1.310,16.680,-15.369,46
115,115,Jerry Smith,94,.024,2.021,15.543,-13.519,84
116,117,Paul Goydos,72,.016,1.054,14.796,-13.743,64
117,118,Ryan Palmer,101,-.001,-.106,-6.777,6.672,82
T118,T119,David Branshaw,98,-.002,-.201,14.852,-15.052,87
T118,T119,Jeff Overton,95,-.002,-.131,4.853,-4.985,87
120,121,Skip Kendall,72,-.004,-.231,-6.145,5.915,59
