RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Jon Rahm,58,1.823,103.920,76.597,27.326,57
2,4,Justin Thomas,66,1.709,99.147,100.966,-1.816,58
3,7,Xander Schauffele,70,1.605,97.935,75.582,22.355,61
4,3,Webb Simpson,52,1.597,81.422,51.369,30.056,51
5,2,Bryson DeChambeau,62,1.566,97.074,56.300,40.776,62
6,5,Daniel Berger,64,1.560,87.337,57.892,29.450,56
7,6,Harris English,76,1.467,99.728,64.479,35.253,68
8,8,Tyrrell Hatton,42,1.431,48.637,36.234,12.403,34
9,9,Dustin Johnson,49,1.409,66.209,53.489,12.722,47
10,12,Patrick Cantlay,46,1.316,57.911,48.274,9.642,44
11,11,Patrick Reed,74,1.295,84.154,45.219,38.938,65
T12,13,Rory McIlroy,60,1.243,63.401,67.021,-3.618,51
T12,10,Tony Finau,72,1.243,73.346,65.102,8.246,59
14,14,Collin Morikawa,80,1.231,87.387,94.436,-7.044,71
15,17,Scottie Scheffler,82,1.078,75.461,79.194,-3.730,70
16,15,Matthew Fitzpatrick,54,1.067,46.946,8.206,38.741,44
17,16,Hideki Matsuyama,74,.964,58.815,87.431,-28.613,61
18,20,Harold Varner III,74,.930,53.002,65.238,-12.233,57
19,21,Adam Scott,38,.905,27.160,19.092,8.071,30
20,19,Abraham Ancer,74,.897,50.241,31.890,18.354,56
21,T24,Russell Henley,67,.853,49.492,60.399,-10.902,58
22,26,Jason Day,53,.843,33.734,25.110,8.625,40
23,T24,Viktor Hovland,74,.789,45.755,48.533,-2.776,58
24,28,Cameron Tringale,63,.788,41.784,37.224,4.562,53
25,27,Sungjae Im,94,.784,61.938,43.558,18.384,79
26,29,Gary Woodland,62,.783,41.495,23.504,17.994,53
27,18,Billy Horschel,79,.771,45.507,20.528,24.983,59
28,31,Brian Harman,78,.767,54.466,32.611,21.859,71
29,22,Kevin Kisner,73,.757,42.409,11.128,31.283,56
30,32,Bubba Watson,66,.711,40.541,36.913,3.630,57
31,33,Rickie Fowler,44,.710,29.111,20.204,8.908,41
32,34,Brendan Steele,68,.708,39.626,32.586,7.045,56
T33,23,Kevin Na,71,.691,40.753,-.126,40.883,59
T33,37,Sebastián Muñoz,84,.691,53.922,49.608,4.319,78
35,36,Ian Poulter,48,.689,26.165,.072,26.094,38
36,38,Matt Kuchar,56,.677,33.150,-.498,33.651,49
37,40,Alex Noren,60,.651,29.304,11.318,17.987,45
38,35,Lanto Griffin,96,.640,51.194,24.357,26.841,80
39,41,Bud Cauley,65,.638,36.994,33.979,3.019,58
40,42,Doc Redman,82,.594,41.557,41.853,-.293,70
41,43,Joel Dahmen,79,.588,37.072,41.051,-3.975,63
42,44,Sergio Garcia,44,.583,18.646,42.765,-24.118,32
43,45,Adam Hadwin,65,.573,30.951,20.981,9.974,54
44,46,Cameron Davis,62,.560,25.779,25.570,.211,46
45,47,Ryan Moore,48,.559,18.993,17.889,1.107,34
46,48,Tommy Fleetwood,40,.556,15.569,3.321,12.249,28
47,49,Adam Long,88,.533,37.824,21.808,16.021,71
48,51,Mark Hubbard,86,.508,37.057,6.907,30.154,73
49,39,Joaquin Niemann,76,.502,32.649,48.360,-15.708,65
50,53,Matthew Wolff,74,.491,30.947,23.223,7.727,63
51,54,Richy Werenski,60,.484,23.715,-.025,23.741,49
52,56,Denny McCarthy,81,.469,30.503,-33.698,64.205,65
53,T57,Zach Johnson,61,.466,25.142,5.240,19.906,54
54,59,Carlos Ortiz,72,.458,29.780,23.590,6.195,65
T55,T60,Paul Casey,56,.431,18.958,35.818,-16.858,44
T55,T60,J.T. Poston,78,.431,27.139,-8.886,36.028,63
57,62,Talor Gooch,83,.423,31.742,8.271,23.477,75
58,63,Brooks Koepka,40,.420,15.970,24.924,-8.952,38
59,64,Kevin Streelman,73,.414,23.596,28.400,-4.801,57
60,65,Corey Conners,74,.405,25.086,62.462,-37.373,62
61,66,Tom Hoge,74,.401,26.482,23.453,3.031,66
62,T57,Brendon Todd,86,.397,29.765,-7.574,37.342,75
63,T69,Mackenzie Hughes,70,.392,24.303,-17.905,42.211,62
64,52,Cameron Champ,70,.390,23.782,34.324,-10.539,61
65,50,Ryan Palmer,68,.387,22.834,38.869,-16.031,59
66,67,Patrick Rodgers,95,.386,28.954,-20.326,49.285,75
67,68,Sepp Straka,70,.368,22.832,7.207,15.627,62
68,T69,Jim Furyk,39,.356,12.827,14.700,-1.869,36
69,72,Sam Burns,60,.329,18.083,-4.396,22.482,55
70,73,James Hahn,36,.327,8.828,11.073,-2.243,27
71,74,Brice Garnett,58,.324,14.567,4.762,9.807,45
72,75,Shane Lowry,44,.322,11.599,24.420,-12.819,36
73,76,Justin Rose,38,.318,10.495,11.326,-.830,33
74,78,Seamus Power,36,.307,6.456,4.192,2.263,21
