RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
1,1,Jason Day,76,2.118,114.345,53.300,61.042,54
2,2,Dustin Johnson,87,1.928,121.436,103.706,17.729,63
3,3,Adam Scott,79,1.894,106.049,115.451,-9.406,56
4,5,Rory McIlroy,69,1.681,80.664,90.600,-9.939,48
5,4,Jordan Spieth,80,1.569,91.007,47.052,43.954,58
6,8,Rickie Fowler,80,1.378,88.176,78.366,9.807,64
7,9,Paul Casey,77,1.372,78.202,71.815,6.384,57
8,6,Phil Mickelson,75,1.364,80.465,47.128,33.335,59
9,7,Matt Kuchar,100,1.314,101.155,71.814,29.342,77
10,10,Hideki Matsuyama,76,1.290,74.811,76.281,-1.472,58
11,12,Justin Rose,65,1.128,55.269,64.906,-9.639,49
12,14,Brooks Koepka,75,1.092,65.547,38.862,26.681,60
13,13,Charl Schwartzel,73,1.043,58.409,66.059,-7.649,56
14,11,Patrick Reed,105,1.026,80.018,58.213,21.805,78
15,16,Bubba Watson,72,.992,50.598,69.290,-18.693,51
16,17,Brandt Snedeker,93,.968,72.577,42.974,29.605,75
17,18,William McGirt,98,.958,84.268,52.598,31.667,88
18,20,Gary Woodland,95,.903,70.408,83.043,-12.638,78
19,26,Ryan Moore,86,.895,58.170,35.337,22.831,65
20,19,Daniel Berger,92,.893,64.310,51.681,12.627,72
21,15,Jimmy Walker,85,.892,63.348,47.610,15.737,71
22,22,Branden Grace,63,.855,35.923,40.325,-4.403,42
23,23,Louis Oosthuizen,63,.836,35.110,36.007,-.898,42
24,24,Billy Horschel,73,.829,47.250,40.844,6.405,57
25,25,Sergio Garcia,54,.801,24.818,36.845,-12.029,31
26,27,Ryan Palmer,86,.774,60.360,67.673,-7.314,78
27,31,Kevin Chappell,93,.770,60.076,84.022,-23.948,78
28,28,Steve Stricker,53,.721,32.433,4.539,27.895,45
29,29,Charles Howell III,91,.701,55.370,43.367,11.999,79
30,32,Shane Lowry,57,.669,24.752,20.572,4.180,37
31,33,Webb Simpson,70,.667,38.703,66.647,-27.946,58
32,36,Chris Kirk,90,.653,48.356,48.822,-.466,74
33,37,Alex Cejka,71,.642,32.717,32.184,.527,51
34,38,Robert Garrigus,69,.637,35.010,45.984,-10.975,55
35,T39,Harris English,97,.634,46.258,2.927,43.331,73
36,21,Kevin Na,96,.627,43.284,38.144,5.140,69
37,41,Retief Goosen,55,.613,29.402,7.243,22.157,48
38,42,Zach Johnson,90,.609,44.452,15.635,28.816,73
39,T39,Roberto Castro,97,.587,51.649,74.291,-22.642,88
40,44,Lucas Glover,75,.572,38.306,51.171,-12.866,67
41,35,Jhonattan Vegas,97,.571,46.211,40.372,5.836,81
42,45,Francesco Molinari,64,.562,32.042,48.935,-16.896,57
43,46,Tim Wilkinson,72,.561,28.056,11.279,16.775,50
44,47,Russell Henley,76,.560,38.611,25.283,13.327,69
45,34,Kevin Kisner,97,.548,39.993,-9.059,49.051,73
46,48,Chad Campbell,90,.544,43.528,61.400,-17.875,80
47,49,Bryce Molder,80,.540,36.178,-.885,37.064,67
48,50,Jim Furyk,52,.530,23.316,20.351,2.965,44
T49,T51,Charley Hoffman,91,.525,37.274,43.791,-6.516,71
T49,T51,Jason Kokrak,89,.525,39.366,60.993,-21.628,75
T49,T51,David Hearn,95,.525,43.070,25.505,17.563,82
T52,T55,Bill Haas,86,.519,33.203,44.357,-11.157,64
T52,T55,Adam Hadwin,93,.519,45.700,-.977,46.675,88
54,57,Marc Leishman,89,.510,33.118,16.766,16.350,65
55,43,Russell Knox,92,.506,32.876,36.373,-3.500,65
T56,30,J.B. Holmes,77,.504,30.749,38.635,-7.886,61
T56,58,Jamie Lovemark,91,.504,41.868,30.957,10.909,83
58,54,Si Woo Kim,113,.503,49.825,59.872,-10.050,99
59,T59,Chez Reavie,90,.500,37.963,57.877,-19.913,76
60,61,Jason Dufner,105,.488,38.534,66.397,-27.865,79
61,T59,Emiliano Grillo,93,.479,34.949,39.004,-4.058,73
62,62,John Senden,88,.451,35.662,10.307,25.352,79
63,63,Luke List,79,.436,28.364,46.100,-17.737,65
64,65,Patton Kizzire,93,.403,30.205,-2.952,33.154,75
65,66,David Toms,62,.380,20.523,13.375,7.145,54
66,67,Luke Donald,81,.378,22.308,13.546,8.761,59
67,64,Sean O'Hair,89,.371,31.161,13.685,17.474,84
68,68,Johnson Wagner,86,.368,27.996,7.265,20.728,76
69,69,Billy Hurley III,66,.348,20.559,-4.963,25.520,59
70,70,Smylie Kaufman,91,.344,24.741,16.631,8.107,72
71,77,Justin Thomas,99,.320,24.034,37.927,-13.896,75
72,71,Colt Knost,90,.318,22.586,-5.470,28.051,71
73,72,Patrick Rodgers,89,.311,22.099,35.814,-13.719,71
74,73,Martin Laird,82,.306,21.713,10.510,11.202,71
T75,T74,Keegan Bradley,82,.298,18.777,58.524,-39.747,63
T75,T74,Hudson Swafford,104,.298,27.408,8.542,18.864,92
77,76,Ricky Barnes,97,.295,23.560,-7.268,30.827,80
78,78,Danny Lee,93,.268,19.052,34.748,-15.698,71
79,79,David Lingmerth,84,.261,15.659,12.382,3.274,60
80,80,Aaron Baddeley,93,.257,19.250,-24.713,43.961,75
81,81,Brendan Steele,88,.255,17.624,37.391,-19.769,69
82,82,Spencer Levin,104,.238,19.517,18.819,.696,82
83,83,Daniel Summerhays,99,.236,18.619,-28.130,46.747,79
84,84,Robert Streb,87,.210,13.857,40.019,-26.163,66
85,85,K.J. Choi,73,.204,13.662,-9.740,23.403,67
86,86,Ben Crane,80,.202,13.346,-1.815,15.160,66
87,87,Scott Piercy,87,.187,12.175,31.141,-18.967,65
88,88,Kyle Reifers,115,.177,17.143,5.525,11.617,97
T89,T89,Kyle Stanley,92,.176,13.910,22.009,-8.100,79
T89,T89,Stuart Appleby,71,.176,11.639,-1.650,13.289,66
91,91,Brian Harman,104,.169,15.534,-27.230,42.762,92
92,92,Jerry Kelly,76,.167,10.027,22.875,-12.848,60
93,93,Thomas Aiken,70,.156,7.464,7.181,.284,48
94,94,Scott Stallings,74,.138,8.666,27.888,-19.225,63
T95,T95,Tony Finau,95,.128,9.997,16.832,-6.838,78
T95,T95,Vijay Singh,72,.128,8.342,14.431,-6.090,65
T97,T97,Kevin Streelman,82,.124,7.932,28.794,-20.863,64
T97,T97,Harold Varner III,92,.124,9.900,38.489,-28.590,80
99,99,Chris Stroud,82,.121,8.374,-2.006,10.380,69
100,100,Graham DeLaet,70,.120,7.081,20.450,-13.371,59
101,101,Blayne Barber,84,.099,7.319,6.541,.776,74
102,103,Boo Weekley,83,.082,5.822,21.797,-15.978,71
103,104,Freddie Jacobson,86,.072,5.214,-29.827,35.039,72
104,105,Anirban Lahiri,72,.068,3.244,4.203,-.959,48
105,106,Henrik Norlander,71,.063,3.356,1.262,2.092,53
106,107,Stewart Cink,61,.062,3.014,22.528,-19.512,49
107,108,Kelly Kraft,63,.058,2.601,-6.702,9.302,45
108,109,Jon Curran,99,.053,4.449,-29.744,34.190,84
109,110,Brett Stegmaier,87,.048,3.602,8.144,-4.545,75
110,111,Vaughn Taylor,72,.033,2.222,30.611,-28.391,67
111,112,Seung-Yul Noh,85,.026,1.821,-10.297,12.116,69
112,113,Ben Martin,92,.023,1.813,-9.392,11.202,80
113,114,Scott Brown,88,.011,.767,.033,.734,70
114,115,Sung Kang,89,.004,.285,-13.321,13.606,73
115,116,Tyrone Van Aswegen,105,-.009,-.791,4.855,-5.648,88
T116,T117,Ernie Els,66,-.024,-1.321,-23.983,22.659,56
T116,T117,Cameron Tringale,81,-.024,-1.683,-5.687,4.003,70
118,119,Fabián Gómez,82,-.037,-2.672,-18.190,15.516,73
119,120,Andrew Landry,53,-.040,-1.325,-22.916,21.591,33
120,121,John Huh,86,-.051,-4.033,10.748,-14.782,79
121,122,Padraig Harrington,54,-.067,-2.966,12.085,-15.051,44
122,123,Nick Taylor,83,-.068,-4.465,5.695,-10.160,66
123,124,Michael Thompson,71,-.072,-3.904,4.273,-8.180,54
124,125,Jonas Blixt,79,-.086,-5.866,-41.677,35.810,68
125,126,Will Wilcox,67,-.089,-5.074,-3.544,-1.533,57
126,127,Brian Stuard,66,-.093,-5.554,-4.215,-1.340,60
127,128,Andrew Loupe,75,-.115,-7.682,-26.449,18.765,67
128,129,Morgan Hoffmann,71,-.116,-6.839,-19.132,12.291,59
129,130,Shawn Stefani,91,-.144,-11.101,14.737,-25.840,77
130,131,Michael Kim,100,-.147,-12.632,-36.340,23.706,86
